video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,channelId,publishDayName,numeric_duration,publish_day_name,LikeRatio,CommentRatio
v3l6sY-gqi0,Manny Plus,GETTING SACKED IN THE MORNING...🌧️📉 #3 (Football Manager 2023),"Are We Going To Get SACKED On FM23?
WATCH LIVE: https://www.twitch.tv/ofmanny

Instagram: https://www.instagram.com/manny/​
Twitter: https://twitter.com/Manny_Official​
My Capture Device: http://e.lga.to/manny",,2022-11-07 09:00:45-08,66479.0,1373.0,,14.0,PT16M54S,hd,false,UCVzKJvNg6RAtwAwIJ9tflng,,1014.0,Monday,20.653138585117105,0.21059281878487945
zS9iYGkuK14,Manny Plus,CAN CR7 CARRY LEICESTER CITY THIS SEASON?🔵 #2 (Football Manager 2023),"Can CR7 Be The Game Changer In FM23..
WATCH LIVE: https://www.twitch.tv/ofmanny

Instagram: https://www.instagram.com/manny/​
Twitter: https://twitter.com/Manny_Official​
My Capture Device: http://e.lga.to/manny","[football manager 2023, fm 23, fm 2023, fm 23 best tactics, Fm 23 rtg, football manager, Manny, mannyplus, Cr7, Cr7 fm23]",2022-11-05 10:00:39-07,92696.0,1909.0,,27.0,PT18M11S,hd,false,UCVzKJvNg6RAtwAwIJ9tflng,,1091.0,Saturday,20.594200396996634,0.29127470441011477
WZ4jn2VL8aU,Manny Plus,START OF THE CHAMPIONSHIP ONLINE SAVE!🥳😂 #1 (Football Manager 2022),"MANNY PLAYS FM22 WITH THE MANDEM!
WATCH LIVE: https://www.twitch.tv/ofmanny

Instagram: https://www.instagram.com/manny/​
Twitter: https://twitter.com/Manny_Official​
My Capture Device: http://e.lga.to/manny","[football manager, football manager 2022, fm, championship, fm22 online save, fm22 online]",2022-06-01 10:00:30-07,75823.0,1835.0,,47.0,PT38M41S,hd,false,UCVzKJvNg6RAtwAwIJ9tflng,,2321.0,Wednesday,24.201099930100366,0.6198646848581565
B0CI2DdrkZY,Ataberk Doğan,MİLLİ TAKIM RÜYASI!! | FM24 TÜRKİYE MİLLİ TAKIM KARİYERİ | ATABERK DOĞAN,"Herkese selam arkadaşlar ben Ataberk Doğan, bu videoda Antalyaspor kariyerine kaldığımız yerden devam ediyoruz dünkü videodaki kesilen milli takım kariyerinin başlangıçı iyi seyirler.

Videoyu beğenmeyi  👍  |  🔔 Kanala abone olup bildirimleri açmayı unutmayın.  💝

Yayınları takip etmek için 》https://kick.com/atadogann

⬇ SOSYAL MEDYA HESAPLARIM ⬇
 Kick 》https://kick.com/atadogann
 Instagram 》https://www.instagram.com/ataberk.dogan
 Twitch 》https://www.twitch.tv/atadogann
 Discord 》https://discord.gg/ataberkdogan
 X 》https://twitter.com/atadogann
Takip etmeyi unutmayın. 💝
📧  Reklam & İş Birliği  👉  merve@bbl.co","[ataberk doğan, ataberk, doğan, ataberk doğan fm, ataberk doğan fm kariyeri, fm kariyeri, fm 24, fm 24 kariyeri, ataberk doğan antalyaspor kariyeri, antalyaspor kariyeri, antalyaspor, antalya, ataberk doğan futbol, ataberk doğan fm 24, ataberk doğan fm kariyer, ataberk doğan fm 24 kariyer, ataberk doğan fm 24 kariyeri, fm ataberk doğan, fm, ataberk doğan kariyer, MİLLİ TAKIM RÜYASI!! | FM24 TÜRKİYE MİLLİ TAKIM KARİYERİ | ATABERK DOĞAN]",2024-08-14 06:00:07-07,5535.0,183.0,,8.0,PT29M18S,hd,false,UCenmkBehf4szi5V-O6EoMaQ,,1758.0,Wednesday,33.06233062330623,1.4453477868112015
A58LEUzVF-0,Ataberk Doğan,FENERBAHÇE'DE YENİ DÖNEM BAŞLADI ! | FM24 KARIYER | ATABERK DOĞAN,"Videoyu beğenmeyi  👍  |  🔔 Kanala abone olup bildirimleri açmayı unutmayın.  💝

💝 Kesit Kanalım 》https://www.youtube.com/channel/UCQYY7CmiNS9vnzyT_MNyWgw
🤜 Yayınları takip etmek için 》https://kick.com/atadogann

▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

⬇ SOSYAL MEDYA HESAPLARIM ⬇

🤜 Kick 》https://kick.com/atadogann
🤜 Instagram 》https://www.instagram.com/ataberk.dogan
🤜 Twitch 》https://www.twitch.tv/atadogann
🤜 Discord 》https://discord.gg/ataberkdogan
🤜 X 》https://twitter.com/atadogann

Takip etmeyi unutmayın. 💝

🤜 Editör & Tasarımcı 》https://linktr.ee/masternetworkz

▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

📧  Reklam & İş Birliği  👉  Merve@bigbosslayf.com","[ataberk, ataberk doğan, ataberk doğan yayın, ataberk doğan vine, ataberk doğan alpay, ataberk doğan twitch, ataberk doğan dlive, ataberk doğan dliveden neden ayrıldı, ataberk doğan fut, ataberk doğan fut draft bilal hancı, ataberk doğan futbol, ataberk doğan eray, kick, twitch]",2024-05-24 10:00:04-07,47801.0,786.0,,18.0,PT2H6M57S,hd,false,UCenmkBehf4szi5V-O6EoMaQ,,7617.0,Friday,16.443170644965587,0.3765611598083722
Ar37sMUFBvg,Ataberk Doğan,O SENE BU SENE Mİ?! | FM24 KARİYER 2 | ATABERK DOĞAN,"Videoyu beğenmeyi  👍  |  🔔 Kanala abone olup bildirimleri açmayı unutmayın.  💝

💝 Kesit Kanalım 》https://www.youtube.com/channel/UCQYY7CmiNS9vnzyT_MNyWgw
🤜 Yayınları takip etmek için 》https://kick.com/atadogann

▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

⬇ SOSYAL MEDYA HESAPLARIM ⬇

🤜 Kick 》https://kick.com/atadogann
🤜 Instagram 》https://www.instagram.com/ataberk.dogan
🤜 Twitch 》https://www.twitch.tv/atadogann
🤜 Discord 》https://discord.gg/ataberkdogan
🤜 X 》https://twitter.com/atadogann

Takip etmeyi unutmayın. 💝

🤜 Editör & Tasarımcı 》https://linktr.ee/masternetworkz

▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

📧  Reklam & İş Birliği  👉  Merve@bigbosslayf.com","[ataberk, ataberk doğan, ataberk doğan yayın, ataberk doğan vine, ataberk doğan alpay, ataberk doğan twitch, ataberk doğan dlive, ataberk doğan dliveden neden ayrıldı, ataberk doğan fut, ataberk doğan fut draft bilal hancı, ataberk doğan futbol, ataberk doğan eray, kick, twitch]",2024-05-25 08:00:12-07,11514.0,243.0,,12.0,PT1H59M16S,hd,false,UCenmkBehf4szi5V-O6EoMaQ,,7156.0,Saturday,21.104742053152684,1.0422094841063052
Q6Bq3a4Tykk,Manny Plus,I FOUND A HIDDEN STRIKER ON FM23!? #22 (Football Manager 2023),"WATCH LIVE: https://www.twitch.tv/ofmanny

Instagram: https://www.instagram.com/manny/​
Twitter: https://twitter.com/Manny_Official​
My Capture Device: http://e.lga.to/manny","[football manager 2023, football manager, fm23, football manager 23]",2023-01-13 09:00:20-08,13688.0,383.0,,9.0,PT12M1S,hd,false,UCVzKJvNg6RAtwAwIJ9tflng,,721.0,Friday,27.98071303331385,0.6575102279368791
lzwdRSd8htU,Ataberk Doğan,DİRENMEYE DEVAM!! | FM23 KARİYER | ATABERK DOĞAN,"Videoyu beğenmeyi  👍  |  🔔 Kanala abone olup bildirimleri açmayı unutmayın.  💝

🤜 Kanala abone olmak için 》 @AtaberkDogann   
🤜 Twitch kanalımı buradan takip edebilirsiniz 》https://www.twitch.tv/atadogann

▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

⬇ SOSYAL MEDYA HESAPLARIM ⬇

🤜 Instagram 》https://www.instagram.com/ataberk.dogan
🤜 Twitch 》https://www.twitch.tv/atadogann
🤜 Discord 》https://discord.gg/ataberkdogan
🤜 X 》https://twitter.com/atadogann

Takip etmeyi unutmayın. 💝

🤜 Editör & Tasarımcı 》https://linktr.ee/masternetworkz

▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

📧  Reklam & İş Birliği  👉  Merve@bigbosslayf.com","[ataberk, ataberk doğan, ataberk doğan yayın, ataberk doğan vine, ataberk doğan alpay, ataberk doğan twitch, ataberk doğan dlive, ataberk doğan dliveden neden ayrıldı, ataberk doğan fut, ataberk doğan fut draft bilal hancı, ataberk doğan futbol, ataberk doğan eray]",2023-09-15 08:00:45-07,5149.0,168.0,,9.0,PT1H40M27S,hd,false,UCenmkBehf4szi5V-O6EoMaQ,,6027.0,Friday,32.62769469799961,1.7479122159642648
oTNIrtw7seI,Ataberk Doğan,PES ETMEK YOK!! | FM23 KARİYER | ATABERK DOĞAN,"Videoyu beğenmeyi  👍  |  🔔 Kanala abone olup bildirimleri açmayı unutmayın.  💝

🤜 Kanala abone olmak için 》 @AtaberkDogann   
🤜 Twitch kanalımı buradan takip edebilirsiniz 》https://www.twitch.tv/atadogann

▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

⬇ SOSYAL MEDYA HESAPLARIM ⬇

🤜 Instagram 》https://www.instagram.com/ataberk.dogan
🤜 Twitch 》https://www.twitch.tv/atadogann
🤜 Discord 》https://discord.gg/ataberkdogan
🤜 X 》https://twitter.com/atadogann

Takip etmeyi unutmayın. 💝

🤜 Editör & Tasarımcı 》https://linktr.ee/masternetworkz

▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

📧  Reklam & İş Birliği  👉  Merve@bigbosslayf.com","[ataberk, ataberk doğan, ataberk doğan yayın, ataberk doğan vine, ataberk doğan alpay, ataberk doğan twitch, ataberk doğan dlive, ataberk doğan dliveden neden ayrıldı, ataberk doğan fut, ataberk doğan fut draft bilal hancı, ataberk doğan futbol, ataberk doğan eray]",2023-09-12 08:00:39-07,18381.0,394.0,,14.0,PT1H29M48S,hd,false,UCenmkBehf4szi5V-O6EoMaQ,,5388.0,Tuesday,21.4351776290735,0.7616560578858603
rezZi3HAJIQ,Ataberk Doğan,SIKINTILI MAÇLAR!! | FM23 KARİYER | ATABERK DOĞAN,"Videoyu beğenmeyi  👍  |  🔔 Kanala abone olup bildirimleri açmayı unutmayın.  💝

🤜 Kanala abone olmak için 》 @AtaberkDogann   
🤜 Twitch kanalımı buradan takip edebilirsiniz 》https://www.twitch.tv/atadogann

▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

⬇ SOSYAL MEDYA HESAPLARIM ⬇

🤜 Instagram 》https://www.instagram.com/ataberk.dogan
🤜 Twitch 》https://www.twitch.tv/atadogann
🤜 Discord 》https://discord.gg/ataberkdogan
🤜 X 》https://twitter.com/atadogann

Takip etmeyi unutmayın. 💝

🤜 Editör & Tasarımcı 》https://linktr.ee/masternetworkz

▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

📧  Reklam & İş Birliği  👉  Merve@bigbosslayf.com","[ataberk, ataberk doğan, ataberk doğan yayın, ataberk doğan vine, ataberk doğan alpay, ataberk doğan twitch, ataberk doğan dlive, ataberk doğan dliveden neden ayrıldı, ataberk doğan fut, ataberk doğan fut draft bilal hancı, ataberk doğan futbol, ataberk doğan eray]",2023-09-21 08:00:45-07,4874.0,149.0,,9.0,PT2H13M20S,hd,false,UCenmkBehf4szi5V-O6EoMaQ,,8000.0,Thursday,30.57037340993024,1.8465326220763234
DWPeFBz6ccQ,Manny Plus,WORST FM22 JOB INTERVIEW EVER!🤣 #6 (Football Manager 2022),"NORT Applying for a New Job On FM 22 !
WATCH LIVE: https://www.twitch.tv/ofmanny

Instagram: https://www.instagram.com/manny/​
Twitter: https://twitter.com/Manny_Official​
My Capture Device: http://e.lga.to/manny","[football manager, football manager 2022, Fm22, manny, manny plus]",2022-06-09 09:00:05-07,24385.0,645.0,,20.0,PT47M3S,hd,false,UCVzKJvNg6RAtwAwIJ9tflng,,2823.0,Thursday,26.450686897683003,0.8201763379126512
PnVkIhA0iEY,Manny Plus,I TOOK THE LIVERPOOL JOB!🔴🥶 #39 (Football Manager 2023),"WATCH LIVE: https://www.twitch.tv/ofmanny

Instagram: https://www.instagram.com/manny/​
Twitter: https://twitter.com/Manny_Official​
My Capture Device: http://e.lga.to/manny","[football manager, football manager 2023, Manny]",2023-04-10 09:00:28-07,11714.0,342.0,,11.0,PT8M50S,hd,false,UCVzKJvNg6RAtwAwIJ9tflng,,530.0,Monday,29.1958340447328,0.939047293836435
L9wQvGnRVWg,Manny Plus,I Signed MESSI... But I Want To SELL Him!😴 #12 (Football Manager 2022),"Was Signing MESSI a bad choice? 
WATCH LIVE: https://www.twitch.tv/ofmanny

Instagram: https://www.instagram.com/manny/​
Twitter: https://twitter.com/Manny_Official​
My Capture Device: http://e.lga.to/manny","[football manager, football manager 2022, fm, fm 22]",2022-06-21 09:00:10-07,27521.0,629.0,,18.0,PT57M50S,hd,false,UCVzKJvNg6RAtwAwIJ9tflng,,3470.0,Tuesday,22.855274154282185,0.6540460012354202
qBYS5NsxO5Y,Manny Plus,MANAGER OF THE SEASON... SO FAR?🏆 #5 (Football Manager 2023),"WATCH LIVE: https://www.twitch.tv/ofmanny

Instagram: https://www.instagram.com/manny/​
Twitter: https://twitter.com/Manny_Official​
My Capture Device: http://e.lga.to/manny",,2022-11-11 09:15:09-08,47054.0,1181.0,,24.0,PT16M38S,hd,false,UCVzKJvNg6RAtwAwIJ9tflng,,998.0,Friday,25.098822629319507,0.5100522803587367
YNx6jWcdZUU,Manny Plus,RONALDO CAUSING PROBLEMS AT THE CLUB!😅🤬 #7 (Football Manager 2023),"WATCH LIVE: https://www.twitch.tv/ofmanny

Instagram: https://www.instagram.com/manny/​
Twitter: https://twitter.com/Manny_Official​
My Capture Device: http://e.lga.to/manny","[football manager, fm 23, football manager 2023, fm 2023, manny, mannyplus, premier league, ronaldo, ronaldo interview, cr7]",2022-11-18 09:00:25-08,32064.0,833.0,,15.0,PT12M6S,hd,false,UCVzKJvNg6RAtwAwIJ9tflng,,726.0,Friday,25.97929141716567,0.46781437125748504
KhIFWRIno2k,Manny Plus,THE RETRO 2003-2004 SAVE!! *OLD SCHOOL PLAYERS*🔵 #1 (Football Manager 2022),"WATCH LIVE: https://www.twitch.tv/ofmanny

Instagram: https://www.instagram.com/manny/​
Twitter: https://twitter.com/Manny_Official​
My Capture Device: http://e.lga.to/manny",,2022-07-07 11:57:18-07,51498.0,1017.0,,65.0,PT57M58S,hd,false,UCVzKJvNg6RAtwAwIJ9tflng,,3478.0,Thursday,19.74833974134918,1.2621849392209405
nEq-RrunycY,Manny Plus,DREW Got SACKED With BRIGHTON...😂🤣 #16 (Football Manager 2022),"WATCH LIVE: https://www.twitch.tv/ofmanny

Instagram: https://www.instagram.com/manny/​
Twitter: https://twitter.com/Manny_Official​
My Capture Device: http://e.lga.to/manny",,2022-06-27 09:00:26-07,17089.0,481.0,,17.0,PT42M34S,hd,false,UCVzKJvNg6RAtwAwIJ9tflng,,2554.0,Monday,28.146761074375327,0.9947919714436187
AZ1cHif8_bM,Manny Plus,I Got A INTERVIEW For The CHELSEA JOB!🔵 [03-04 SAVE] #6 (Football Manager 2022),"WATCH LIVE: https://www.twitch.tv/ofmanny

Instagram: https://www.instagram.com/manny/​
Twitter: https://twitter.com/Manny_Official​
My Capture Device: http://e.lga.to/manny",,2022-07-26 09:00:10-07,10808.0,281.0,,10.0,PT52M30S,hd,false,UCVzKJvNg6RAtwAwIJ9tflng,,3150.0,Tuesday,25.999259807549965,0.925240562546262
x8HJmcUhNAI,Manny Plus,MBAPPE Swap Deal For HAALAND? #26 (Football Manager 2022),"WATCH LIVE: https://www.twitch.tv/ofmanny

Instagram: https://www.instagram.com/manny/​
Twitter: https://twitter.com/Manny_Official​
My Capture Device: http://e.lga.to/manny","[football manager 2022, fm 22, fm22, football manager, football manager 22, manny, manny plus]",2022-07-13 09:00:30-07,10900.0,319.0,,9.0,PT42M59S,hd,false,UCVzKJvNg6RAtwAwIJ9tflng,,2579.0,Wednesday,29.26605504587156,0.8256880733944955
NiHNOEXPe10,Manny Plus,WINNING ANOTHER FINAL WITH NEW SIGNINGS!🏆 #33 (Football Manager 2023),"WATCH LIVE: https://www.twitch.tv/ofmanny

Instagram: https://www.instagram.com/manny/​
Twitter: https://twitter.com/Manny_Official​
My Capture Device: http://e.lga.to/manny",,2023-03-01 09:00:15-08,16105.0,379.0,,4.0,PT38M40S,hd,false,UCVzKJvNg6RAtwAwIJ9tflng,,2320.0,Wednesday,23.533064265755975,0.24837007140639553
4Bhruh-Woec,Manny Plus,THE MBAPPE & HAALAND SHOW!🇫🇷🇳🇴 #36 (Football Manager 2023),"WATCH LIVE: https://www.twitch.tv/ofmanny

Instagram: https://www.instagram.com/manny/​
Twitter: https://twitter.com/Manny_Official​
My Capture Device: http://e.lga.to/manny",,2023-03-21 10:00:04-07,14136.0,332.0,,8.0,PT16M3S,hd,false,UCVzKJvNg6RAtwAwIJ9tflng,,963.0,Tuesday,23.486134691567628,0.5659309564233164
DnkAkNHUhTY,Manny Plus,I'M IN THE RELEGATION ZONE... FIND A NEW CLUB?🚨 #11 (Football Manager 2023),"We are in the relegation zone.. Do I need a change?
WATCH LIVE: https://www.twitch.tv/ofmanny

Instagram: https://www.instagram.com/manny/​
Twitter: https://twitter.com/Manny_Official​
My Capture Device: http://e.lga.to/manny",,2022-12-14 10:00:08-08,19080.0,506.0,,9.0,PT14M16S,hd,false,UCVzKJvNg6RAtwAwIJ9tflng,,856.0,Wednesday,26.51991614255765,0.4716981132075472
mvuQh2y8SG0,Manny Plus,Making The Most IMPORTANT SIGNING For The Club...📈👀 #3 (Football Manager 2022),"We Signed The Main Man. Can You Guess Who?
WATCH LIVE: https://www.twitch.tv/ofmanny

Instagram: https://www.instagram.com/manny/​
Twitter: https://twitter.com/Manny_Official​
My Capture Device: http://e.lga.to/manny","[Football manager, football manager 2022, football manager 2022 online save]",2022-06-03 08:00:35-07,22886.0,652.0,,24.0,PT39M49S,hd,false,UCVzKJvNg6RAtwAwIJ9tflng,,2389.0,Friday,28.489032596347112,1.0486760464913045
ij3wocpxI34,Manny Plus,I TOOK THE CHELSEA JOB!🔵🤩 #27 (Football Manager 2023),"WATCH LIVE: https://www.twitch.tv/ofmanny

Instagram: https://www.instagram.com/manny/​
Twitter: https://twitter.com/Manny_Official​
My Capture Device: http://e.lga.to/manny",,2023-01-19 09:00:27-08,29741.0,653.0,,16.0,PT19M12S,hd,false,UCVzKJvNg6RAtwAwIJ9tflng,,1152.0,Thursday,21.95622205036818,0.5379778756598634
